,Title,Year,Rating,Runtime,Genre,Gross
22,Lightspeed,2006 TV Movie,Not Rated,90 min,"
Action, Sci-Fi            ",
23,Daredevil,2003,PG-13,103 min,"
Action, Crime            ","102,543,520"
24,Sparks,I) (2013,Not Rated,90 min,"
Action, Sci-Fi, Thriller            ",
25,Spawn,1997,PG-13,96 min,"
Action, Drama, Horror            ","54,967,359"
26,Guardians of the Galaxy,2014,PG-13,121 min,"
Action, Adventure, Comedy            ","333,176,600"
27,Guardians of the Galaxy Vol. 2,2017,PG-13,136 min,"
Action, Adventure, Comedy            ","389,813,101"
28,Guardians of the Galaxy Vol. 3,2023,PG-13,,"
Action, Adventure, Comedy            ",
29,Judge Dredd,1995,R,96 min,"
Action, Crime, Sci-Fi            ","34,693,481"
30,Dredd,2012,R,95 min,"
Action, Crime, Sci-Fi            ","13,414,714"
31,Super,I) (2010,R,96 min,"
Action, Comedy, Crime            ","322,157"
32,Superhero Movie,2008,PG-13,75 min,"
Action, Comedy, Sci-Fi            ","26,638,520"
33,Supergirl,1984,PG,124 min,"
Action, Adventure, Fantasy            ","13,600,000"
34,Superman,1978,PG,143 min,"
Action, Adventure, Sci-Fi            ","134,218,018"
35,Superman II,1980,PG,127 min,"
Action, Adventure, Sci-Fi            ","108,185,706"
36,Superman III,1983,PG,125 min,"
Action, Adventure, Comedy            ","59,950,623"
37,Superman IV: The Quest for Peace,1987,PG,90 min,"
Action, Adventure, Sci-Fi            ","15,681,020"
38,Superman Returns,2006,PG-13,154 min,"
Action, Adventure, Sci-Fi            ","200,081,192"
39,Man of Steel,2013,PG-13,143 min,"
Action, Adventure, Sci-Fi            ","291,045,518"
40,Mystery Men,1999,PG-13,121 min,"
Action, Comedy, Fantasy            ","29,762,011"
41,Tank Girl,1995,R,104 min,"
Action, Comedy, Sci-Fi            ","4,064,333"
42,Jumper,2008,PG-13,88 min,"
Action, Adventure, Sci-Fi            ","80,172,128"
43,The Shadow,1994,PG-13,108 min,"
Action, Adventure, Crime            ","32,055,248"
44,The Toxic Avenger,1984,R,82 min,"
Action, Comedy, Horror            ",
45,The Toxic Avenger Part II,1989,R,102 min,"
Action, Comedy, Horror            ","792,966"
46,The Toxic Avenger Part III: The Last Temptation of Toxie,1989,R,102 min,"
Action, Comedy, Fantasy            ","363,561"
47,Citizen Toxie: The Toxic Avenger IV,2000,R,109 min,"
Action, Comedy, Fantasy            ",
48,The Toxic Avenger,,R,,"
Action, Comedy, Horror            ",
49,Almighty Thor,2011 TV Movie,TV-14,92 min,"
Action, Adventure, Fantasy            ",
50,Thor,2011,PG-13,115 min,"
Action, Fantasy            ","181,030,624"
51,Thor: The Dark World,2013,PG-13,112 min,"
Action, Adventure, Fantasy            ","206,362,140"
52,Thor: Ragnarok,2017,PG-13,130 min,"
Action, Adventure, Comedy            ","315,058,289"
53,Turbo: A Power Rangers Movie,1997,PG,99 min,"
Action, Adventure, Family            ","8,363,899"
54,Ultraviolet,2006,PG-13,88 min,"
Action, Sci-Fi            ","18,500,966"
55,Fantastic Four,I) (2005,PG-13,106 min,"
Action, Adventure, Fantasy            ","154,696,080"
56,Fantastic Four: Rise of the Silver Surfer,2007,PG,92 min,"
Action, Adventure, Fantasy            ","131,921,738"
57,Fantastic Four,2015,PG-13,100 min,"
Action, Adventure, Sci-Fi            ","56,117,548"
58,The Phantom,1996,PG,100 min,"
Action, Adventure, Comedy            ","17,300,889"
59,The Flash,2023,,,"
Action, Adventure, Fantasy            ",
60,The Incredible Hulk Returns,1988 TV Movie,Not Rated,100 min,"
Action, Adventure, Drama            ",
61,The Trial of the Incredible Hulk,1989 TV Movie,Not Rated,100 min,"
Action, Adventure, Drama            ",
62,Hulk,2003,PG-13,138 min,"
Action, Sci-Fi            ","132,177,234"
63,The Incredible Hulk,2008,PG-13,112 min,"
Action, Adventure, Sci-Fi            ","134,518,390"
64,Harley Quinn,2019– ,TV-14,23 min,"
Animation, Action, Adventure            ",
65,Hellboy,2004,PG-13,122 min,"
Action, Adventure, Fantasy            ","59,623,958"
66,Hellboy II: The Golden Army,2008,PG-13,120 min,"
Action, Adventure, Fantasy            ","75,754,670"
67,Hellboy,2019,R,120 min,"
Action, Adventure, Fantasy            ","21,903,748"
68,Birds of Prey,2020,R,109 min,"
Action, Comedy, Crime            ","84,158,461"
69,Watchmen,2009,R,162 min,"
Action, Drama, Mystery            ","107,509,799"
70,Chronicle,2012,PG-13,84 min,"
Action, Drama, Sci-Fi            ","64,575,175"
71,Hancock,2008,PG-13,92 min,"
Action, Comedy, Drama            ","227,946,274"
72,Hancock 2,,,,"
Action, Fantasy            ",
73,Condorman,1981,PG,90 min,"
Action, Adventure, Comedy            ",
74,The Meteor Man,1993,PG,100 min,"
Action, Comedy, Fantasy            ","8,023,147"
75,Ant-Man,2015,PG-13,117 min,"
Action, Comedy, Sci-Fi            ","180,202,163"
76,Ant-Man and the Wasp,2018,PG-13,118 min,"
Action, Adventure, Comedy            ","216,648,740"
77,Antboy,2013,PG,77 min,"
Adventure, Comedy, Family            ",
78,Spider-Man,2002,PG-13,121 min,"
Action, Adventure, Sci-Fi            ","403,706,375"
79,Spider-Man 2,2004,PG-13,127 min,"
Action, Adventure, Sci-Fi            ","373,585,825"
80,Spider-Man 3,2007,PG-13,139 min,"
Action, Adventure, Sci-Fi            ","336,530,303"
81,The Amazing Spider-Man,2012,PG-13,136 min,"
Action, Adventure, Sci-Fi            ","262,030,663"
82,The Amazing Spider-Man 2,2014,PG-13,142 min,"
Action, Adventure, Sci-Fi            ","202,853,933"
83,Spider-Man: Homecoming,2017,PG-13,133 min,"
Action, Adventure, Sci-Fi            ","334,201,140"
84,Spider-Man: Far from Home,2019,PG-13,129 min,"
Action, Adventure, Comedy            ","390,532,085"
85,Darkman,1990,R,96 min,"
Action, Sci-Fi, Thriller            ","33,878,502"
86,Darkman II: The Return of Durant,1995 Video,R,93 min,"
Action, Crime, Horror            ",
87,Darkman III: Die Darkman Die,1996 Video,R,87 min,"
Action, Crime, Horror            ",
88,Teenage Mutant Ninja Turtles,1990,PG,93 min,"
Action, Adventure, Comedy            ","135,265,915"
89,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,PG,88 min,"
Action, Adventure, Comedy            ","78,656,813"
90,Teenage Mutant Ninja Turtles III,1993,PG,96 min,"
Action, Adventure, Comedy            ","42,660,000"
91,Teenage Mutant Ninja Turtles,2014,PG-13,101 min,"
Action, Adventure, Comedy            ","191,204,754"
92,Black Adam,2022,PG-13,125 min,"
Action, Adventure, Fantasy            ","168,152,111"
93,Black Widow,2021,PG-13,134 min,"
Action, Adventure, Sci-Fi            ","183,651,655"
94,Black Panther,2018,PG-13,134 min,"
Action, Adventure, Sci-Fi            ","700,059,566"
95,Darklight,2004 TV Movie,R,90 min,"
Action, Drama, Fantasy            ",
96,Black Scorpion,1995 TV Movie,R,92 min,"
Action, Crime, Sci-Fi            ",
97,Wonder Woman,1974 TV Movie,Not Rated,73 min,"
Fantasy            ",
98,Wonder Woman,2011 TV Movie,,45 min,"
Action, Adventure, Fantasy            ",
99,Wonder Woman,2017,PG-13,141 min,"
Action, Adventure, Fantasy            ","412,563,408"
0,Wonder Woman 1984,2020,PG-13,151 min,"
Action, Adventure, Fantasy            ","46,370,364"
1,Shazam!,2019,PG-13,132 min,"
Action, Adventure, Comedy            ","140,371,656"
2,Elektra,2005,PG-13,97 min,"
Action, Adventure, Crime            ","24,409,722"
3,Æon Flux,2005,PG-13,93 min,"
Action, Adventure, Sci-Fi            ","25,857,987"
4,I Am Number Four,2011,PG-13,111 min,"
Action, Adventure, Sci-Fi            ","55,100,437"
